benchmark,clf_name,train_roc,train_prn,test_roc,test_prn
wine_benchmark_0033.csv,KNN,0.5245,0.4848,0.5212,0.4865
wine_benchmark_0033.csv,IForest,0.5187,0.4579,0.5172,0.4667
wine_benchmark_0033.csv,HBOS,0.5108,0.4209,0.531,0.5256
wine_benchmark_0033.csv,LOF,0.5245,0.4848,0.5124,0.439
wine_benchmark_0033.csv,CBLOF,0.5245,0.4848,0.5058,0.4133
wine_benchmark_0034.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0034.csv,KNN,0.5205,0.4595,0.5044,0.3678
wine_benchmark_0034.csv,IForest,0.5101,0.4108,0.4995,0.3488
wine_benchmark_0034.csv,HBOS,0.513,0.4242,0.5183,0.4235
wine_benchmark_0034.csv,LOF,0.5195,0.4545,0.5041,0.3699
wine_benchmark_0034.csv,CBLOF,0.5123,0.4209,0.5056,0.3735
wine_benchmark_0035.csv,ABOD,0.4967,0.3468,0.5114,0.4198
wine_benchmark_0035.csv,KNN,0.5135,0.4242,0.5224,0.4526
wine_benchmark_0035.csv,IForest,0.5143,0.4276,0.5181,0.4688
wine_benchmark_0035.csv,HBOS,0.5143,0.4276,0.5077,0.4085
wine_benchmark_0035.csv,LOF,0.5091,0.404,0.5119,0.4149
wine_benchmark_0035.csv,CBLOF,0.5121,0.4175,0.5057,0.3933
wine_benchmark_0036.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0036.csv,KNN,0.5174,0.468,0.5287,0.5077
wine_benchmark_0036.csv,IForest,0.5095,0.431,0.5154,0.4186
wine_benchmark_0036.csv,HBOS,0.5117,0.4411,0.5215,0.4458
wine_benchmark_0036.csv,LOF,0.5117,0.4411,0.5387,0.5333
wine_benchmark_0036.csv,CBLOF,0.511,0.4377,0.5332,0.494
wine_benchmark_0037.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0037.csv,KNN,0.5162,0.4444,0.5331,0.4824
wine_benchmark_0037.csv,IForest,0.517,0.4478,0.5475,0.5213
wine_benchmark_0037.csv,HBOS,0.5112,0.4209,0.5328,0.4725
wine_benchmark_0037.csv,LOF,0.5206,0.4646,0.5401,0.5119
wine_benchmark_0037.csv,CBLOF,0.5119,0.4242,0.5427,0.5111
wine_benchmark_0038.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0038.csv,KNN,0.5204,0.4613,0.5173,0.4359
wine_benchmark_0038.csv,IForest,0.5095,0.4108,0.5306,0.4878
wine_benchmark_0038.csv,HBOS,0.5095,0.4108,0.5189,0.439
wine_benchmark_0038.csv,LOF,0.52,0.4595,0.5243,0.4545
wine_benchmark_0038.csv,CBLOF,0.5124,0.4242,0.5216,0.4471
wine_benchmark_0039.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0039.csv,KNN,0.5191,0.4545,0.5308,0.5224
wine_benchmark_0039.csv,IForest,0.5119,0.4209,0.5089,0.4127
wine_benchmark_0039.csv,HBOS,0.5075,0.4007,0.5189,0.4571
wine_benchmark_0039.csv,LOF,0.522,0.468,0.5337,0.5128
wine_benchmark_0039.csv,CBLOF,0.5155,0.4377,0.5081,0.4028
wine_benchmark_0040.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0040.csv,KNN,0.5126,0.4209,0.54,0.5873
wine_benchmark_0040.csv,IForest,0.5119,0.4175,0.5241,0.4925
wine_benchmark_0040.csv,HBOS,0.5097,0.4074,0.5252,0.4706
wine_benchmark_0040.csv,LOF,0.5199,0.4545,0.5258,0.5167
wine_benchmark_0040.csv,CBLOF,0.5126,0.4209,0.5226,0.4921
wine_benchmark_0041.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0041.csv,KNN,0.5066,0.3872,0.5107,0.4262
wine_benchmark_0041.csv,IForest,0.5021,0.367,0.5045,0.3837
wine_benchmark_0041.csv,HBOS,0.4948,0.3333,0.5067,0.3973
wine_benchmark_0041.csv,LOF,0.5043,0.3771,0.5157,0.4429
wine_benchmark_0041.csv,CBLOF,0.5066,0.3872,0.5025,0.3788
wine_benchmark_0042.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0042.csv,KNN,0.5062,0.3851,0.5259,0.4706
wine_benchmark_0042.csv,IForest,0.4978,0.3468,0.4889,0.3218
wine_benchmark_0042.csv,HBOS,0.5074,0.3906,0.5027,0.3765
wine_benchmark_0042.csv,LOF,0.5091,0.3986,0.5058,0.3902
wine_benchmark_0042.csv,CBLOF,0.4971,0.3434,0.4949,0.3474
wine_benchmark_0043.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0043.csv,KNN,0.5022,0.3805,0.5354,0.5429
wine_benchmark_0043.csv,IForest,0.5008,0.3737,0.5177,0.4521
wine_benchmark_0043.csv,HBOS,0.503,0.3838,0.5162,0.4493
wine_benchmark_0043.csv,LOF,0.5095,0.4141,0.523,0.4853
wine_benchmark_0043.csv,CBLOF,0.5044,0.3906,0.5298,0.5
wine_benchmark_0044.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0044.csv,KNN,0.5072,0.404,0.5197,0.4531
wine_benchmark_0044.csv,IForest,0.5058,0.3973,0.5281,0.4795
wine_benchmark_0044.csv,HBOS,0.5116,0.4242,0.5243,0.4648
